Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert/old/a0/0,1.3245182412287537e-8,1.2802359349798736e-8,1.3950073870084116e-8,1.7733017361398357e-9,1.1762264907988466e-9,2.6733159512990797e-9
insert/new/a0/0,1.6198550082002385e-8,1.5759276523368133e-8,1.6870593886769478e-8,1.8996356889719877e-9,1.272818177749533e-9,3.148115458477352e-9
insert/old/a1/0,1.5901711830026183e-8,1.555930912292319e-8,1.6432310156391012e-8,1.407376256098218e-9,9.872658221881314e-10,2.3071638589923037e-9
insert/new/a1/0,1.5910069030195362e-8,1.5487967611212393e-8,1.6528555133477072e-8,1.7185806949449788e-9,1.0959069221823261e-9,2.5332857482455346e-9
insert/old/a7/0,1.8792146857214e-8,1.8336084643830643e-8,1.9391092414143837e-8,1.7557359748336626e-9,1.3806437490465352e-9,2.3545974060848333e-9
insert/new/a7/0,1.678597668538839e-8,1.6468925883654648e-8,1.7236073694396624e-8,1.2529185850374401e-9,1.0139803350452246e-9,1.7203355582700884e-9
insert/old/a7/3,2.123642775875144e-8,2.07815418010139e-8,2.184759011537221e-8,1.7753120862799483e-9,1.3836295677970266e-9,2.547582411784789e-9
insert/new/a7/3,1.6956813652949103e-8,1.6567745620017514e-8,1.7548638670240542e-8,1.6521690026879513e-9,1.3105304241070103e-9,2.1280970637485822e-9
insert/old/a7/6,2.1521427395125685e-8,2.104610649104104e-8,2.216989536001765e-8,1.9821134163088192e-9,1.5325697526814707e-9,2.4302965605167635e-9
insert/new/a7/6,1.6948468269631807e-8,1.654914262599724e-8,1.759756059777677e-8,1.5947672588440902e-9,1.1883239522723517e-9,2.2313375942643064e-9
insert/old/a47/0,4.04476178017921e-8,3.9098489431722023e-8,4.411820616355006e-8,6.9351347489215125e-9,3.124196104079822e-9,1.3324325829228786e-8
insert/new/a47/0,2.647185777250486e-8,2.584591589103012e-8,2.734837705519922e-8,2.566463951851629e-9,2.0072899629887043e-9,3.3488380756298955e-9
insert/old/a47/23,4.235660930775795e-8,4.130653492987546e-8,4.386486617204836e-8,4.2345693229208716e-9,3.2790091479808844e-9,5.699885796271138e-9
insert/new/a47/23,2.7778850168278327e-8,2.6714682413228444e-8,2.9763663986033135e-8,4.69126759468722e-9,2.6707324319978544e-9,8.341163241086312e-9
insert/old/a47/46,4.2395603617335056e-8,4.1254320348812075e-8,4.503825006443398e-8,5.515163320136021e-9,3.2066819560005366e-9,1.0397977244646785e-8
insert/new/a47/46,2.7086669250947344e-8,2.6586071356552425e-8,2.8024442854733197e-8,2.2661292038636077e-9,1.873929599691386e-9,3.0708797375475444e-9
insert/old/a223/0,1.3812031424267512e-7,1.3255580306862644e-7,1.4684266702973178e-7,2.349579737416064e-8,1.6666805367817126e-8,3.515205396073895e-8
insert/new/a223/0,7.710398440504048e-8,7.480794878031387e-8,8.019869340872397e-8,9.180163036637786e-9,7.135243997726501e-9,1.1749114310451869e-8
insert/old/a223/111,1.446588689960545e-7,1.408783731618793e-7,1.510130232378996e-7,1.619675063605572e-8,1.3080371981827973e-8,2.169957841724268e-8
insert/new/a223/111,8.16359444313699e-8,7.915266144557483e-8,8.518215125895026e-8,9.999415252401443e-9,7.674208792847618e-9,1.2932211822028965e-8
insert/old/a223/222,1.473308176027023e-7,1.4215489001906286e-7,1.623160341036936e-7,2.8175618695923816e-8,1.1293328649092318e-8,5.5887096193304195e-8
insert/new/a223/222,7.773363873455372e-8,7.54930076761667e-8,8.024229283533562e-8,8.141654754698812e-9,6.622594243155093e-9,1.0475363727650578e-8
insert/old/a3967/0,2.7280835816150635e-6,2.64267357416888e-6,2.88969222546053e-6,4.0153570033038896e-7,2.40375293147916e-7,6.469588112851618e-7
insert/new/a3967/0,1.3000464245689786e-6,1.2682604921779943e-6,1.3442550280352731e-6,1.2854948701475168e-7,9.27852548682088e-8,1.8940913083155895e-7
insert/old/a3967/1983,2.5883971512252494e-6,2.5180559311936457e-6,2.694631945522103e-6,3.004229692593783e-7,2.1126069758624721e-7,4.699596899268418e-7
insert/new/a3967/1983,1.3128149170389019e-6,1.2732941875700556e-6,1.3717688798310357e-6,1.5959589992014012e-7,1.198782525099639e-7,2.4128606636782356e-7
insert/old/a3967/3966,2.586357834787659e-6,2.5158160752901855e-6,2.698249473153655e-6,2.981761725280711e-7,2.2177944540255393e-7,3.956487610130961e-7
insert/new/a3967/3966,1.2168749857219297e-6,1.1850243917550127e-6,1.2600435128148742e-6,1.2717883203294776e-7,9.644394075373651e-8,1.833489472455154e-7
insert/old/a16127/0,1.07633153475045e-5,1.0459436341337673e-5,1.1196877148871888e-5,1.1585931833587675e-6,9.225577109560555e-7,1.618552200254496e-6
insert/new/a16127/0,5.36625398432543e-6,5.235452461596284e-6,5.543322158189555e-6,5.296770367369094e-7,3.993005009027735e-7,7.024890159465458e-7
insert/old/a16127/8063,1.0468721420735652e-5,1.022643952001458e-5,1.0770574029882869e-5,9.673194582812477e-7,7.772978120892689e-7,1.2000740625438478e-6
insert/new/a16127/8063,5.040174155941898e-6,4.911961508185744e-6,5.266633811614041e-6,5.735024398154415e-7,4.0112633135152775e-7,9.204992331264735e-7
insert/old/a16127/16126,1.0406459726464833e-5,1.0107180480838972e-5,1.0808047869307912e-5,1.1464442627589028e-6,8.423908024920418e-7,1.56248854807315e-6
insert/new/a16127/16126,4.8099138066223894e-6,4.642471105916693e-6,5.046839022402348e-6,7.158808827831324e-7,4.739150618023857e-7,1.07163379668786e-6
insert/old/a1046527/0,1.6776337373555369e-3,1.6496639734606096e-3,1.7172512868149326e-3,1.1141558398549648e-4,8.432805179734495e-5,1.7965692333757593e-4
insert/new/a1046527/0,1.124624509971278e-3,1.1088474452406283e-3,1.143544667048931e-3,6.07196960214129e-5,4.9517934027029474e-5,7.514931501253134e-5
insert/old/a1046527/523263,1.6593891640051637e-3,1.6320575779771654e-3,1.6972992530323754e-3,1.1732422241576692e-4,9.067026400701498e-5,1.588801580459994e-4
insert/new/a1046527/523263,1.0420208694777893e-3,1.0030770718471227e-3,1.0760791170878043e-3,1.2722857811115667e-4,1.0517953461293718e-4,1.533108288079711e-4
insert/old/a10465271046527/,1.158416184193493e-3,1.1457186793456316e-3,1.1756392358912803e-3,5.222452492144668e-5,4.029839137008525e-5,7.281813853069677e-5
insert/new/a10465271046527/,8.032276696506002e-4,7.972372951150041e-4,8.127222892466878e-4,2.5046956597543495e-5,1.866692091494312e-5,3.735231924555274e-5
