Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert/old/a0/0,1.68812856137496e-8,1.6540653184803376e-8,1.759505992451579e-8,1.5963411872332837e-9,9.111504398606462e-10,2.9252825964339558e-9
insert/new/a0/0,1.9485860658496236e-8,1.9036845182476073e-8,2.0077958699661615e-8,1.6518320395056265e-9,1.226113081397954e-9,2.1831354364247553e-9
insert/old/a1/0,2.1312574904454403e-8,2.0929132454670505e-8,2.1764506458813562e-8,1.401821723703283e-9,1.186997997057161e-9,1.9186368198086593e-9
insert/new/a1/0,2.038395255997968e-8,1.9844243373337127e-8,2.1028870109242207e-8,1.9765624969609604e-9,1.5350985536858008e-9,2.6157127647299157e-9
insert/old/a7/0,3.040901410395613e-8,2.9630215959017364e-8,3.135920847802096e-8,2.9565475529221393e-9,2.2815605252651725e-9,3.745925067471164e-9
insert/new/a7/0,2.804400035362902e-8,2.7466660635221147e-8,2.8821155569106624e-8,2.2287312115282532e-9,1.773494398217712e-9,3.3169815278377923e-9
insert/old/a7/3,3.2847399730893925e-8,3.216734207138291e-8,3.359672155144567e-8,2.5188910781225238e-9,1.9547525835244106e-9,3.3837068677320995e-9
insert/new/a7/3,2.824873514821383e-8,2.7653406714250256e-8,2.9022849832521145e-8,2.3087000033543134e-9,1.8626990518299066e-9,2.8779236861793773e-9
insert/old/a7/6,3.240438021494514e-8,3.179297555386476e-8,3.315586005707315e-8,2.2862628311019397e-9,1.8437112897459672e-9,2.808035632711819e-9
insert/new/a7/6,2.8045792158321345e-8,2.740974493523715e-8,2.8904838047643027e-8,2.2950467962397545e-9,1.8178106179123841e-9,2.8996575472809315e-9
insert/old/a47/0,1.1568222796192809e-7,1.1226212621388913e-7,1.1999682242914962e-7,1.2485042905641484e-8,9.934279335217646e-9,1.6800145771736362e-8
insert/new/a47/0,9.968373486908707e-8,9.716841658489314e-8,1.0414689567167173e-7,1.0850748473002489e-8,6.522489353482648e-9,1.8903863245446833e-8
insert/old/a47/23,1.248285860747536e-7,1.217760648577357e-7,1.2853536044123446e-7,1.0882565407819496e-8,8.118095265089311e-9,1.4219925795211677e-8
insert/new/a47/23,9.785223140734913e-8,9.499233880123388e-8,1.0282895950762666e-7,1.2370754511915666e-8,6.9007771539076775e-9,2.1980492330029024e-8
insert/old/a47/46,1.2108700790859658e-7,1.170907375512179e-7,1.3017020632833333e-7,1.931045388888035e-8,9.910578817034471e-9,3.673865136997817e-8
insert/new/a47/46,9.931277609856212e-8,9.704580631460678e-8,1.0268234477188053e-7,8.98532652589817e-9,6.568863172018342e-9,1.2606514510603371e-8
insert/old/a223/0,5.023176087284062e-7,4.917847469293409e-7,5.196774913851304e-7,4.646915091434439e-8,3.4464517259329764e-8,6.476043904079433e-8
insert/new/a223/0,4.444933657331719e-7,4.35085331764696e-7,4.566976003252674e-7,3.621467097232151e-8,2.8911675911753014e-8,4.554139871330924e-8
insert/old/a223/111,5.185064918269146e-7,5.065662767743467e-7,5.354789129804485e-7,4.972625342218516e-8,3.490688689379079e-8,7.032363675462528e-8
insert/new/a223/111,4.484772643473312e-7,4.376259857011054e-7,4.6593174785640884e-7,4.679097010830279e-8,3.388170254526596e-8,6.714893696940586e-8
insert/old/a223/222,5.107350585432781e-7,4.990349103064126e-7,5.272278694913094e-7,4.8484057544981165e-8,3.744032305374757e-8,7.21149456226947e-8
insert/new/a223/222,4.356658255873953e-7,4.2793202241379944e-7,4.4606049796508585e-7,3.129217262659973e-8,2.5216691439515127e-8,4.0805062560466964e-8
insert/old/a3967/0,8.79560203935344e-6,8.599790237360038e-6,9.057004869409414e-6,7.361224718564532e-7,5.992255519307042e-7,9.518545377268626e-7
insert/new/a3967/0,7.707693690047879e-6,7.497959253073879e-6,8.031226503800364e-6,8.419926912219148e-7,5.746088504991846e-7,1.3963799442039981e-6
insert/old/a3967/1983,8.764375191860801e-6,8.582518298110183e-6,8.98085447857065e-6,7.054217162792185e-7,5.719065814319154e-7,8.61509763755077e-7
insert/new/a3967/1983,7.6025323526309465e-6,7.40231306532234e-6,8.118408301877047e-6,9.326310260620676e-7,4.797899683488023e-7,1.8638101676212546e-6
insert/old/a3967/3966,8.97429966026488e-6,8.650844653630147e-6,9.455846105972759e-6,1.3818980565675396e-6,8.676647085431171e-7,2.3008905357949827e-6
insert/new/a3967/3966,7.452204347094821e-6,7.300041943686261e-6,7.676288895042602e-6,6.06039782410148e-7,4.960262357790487e-7,8.254047405099101e-7
insert/old/a16127/0,3.572987078534154e-5,3.49310212103192e-5,3.703934301008182e-5,3.5713688413545923e-6,2.6183452790091327e-6,5.411488493321729e-6
insert/new/a16127/0,3.112299856052936e-5,3.048105911428366e-5,3.193145511197183e-5,2.4760835208568744e-6,1.9017730703606297e-6,3.366355716191223e-6
insert/old/a16127/8063,3.554614977506287e-5,3.4826485610347915e-5,3.640989244906686e-5,2.6386149674958592e-6,2.1878102171207472e-6,3.1620558589742424e-6
insert/new/a16127/8063,3.104129874688567e-5,3.0003482617674026e-5,3.2881502787119785e-5,4.421745978217227e-6,2.5529641255327246e-6,7.460302020360086e-6
insert/old/a16127/16126,3.589037619740646e-5,3.500318374147725e-5,3.695942090964635e-5,3.4342894911738094e-6,2.5821527946059277e-6,4.649342478212875e-6
insert/new/a16127/16126,3.079860073207827e-5,3.001733815606992e-5,3.18931389361508e-5,3.1238094321626777e-6,2.256173731617749e-6,4.8173715591409815e-6
insert/old/a1046527/0,3.2828733383736593e-3,3.1755990669021356e-3,3.5684307369078304e-3,5.522459089114742e-4,2.1861871125307771e-4,1.009385969247739e-3
insert/new/a1046527/0,2.7348618941067777e-3,2.6779230837027847e-3,2.8109503292429562e-3,2.1142075134616113e-4,1.673276719421159e-4,2.8503563717820456e-4
insert/old/a1046527/523263,3.1043168765990175e-3,3.068166967614032e-3,3.150664462761928e-3,1.3912334983901328e-4,9.395042264924979e-5,2.3262298583537694e-4
insert/new/a1046527/523263,2.656596672073291e-3,2.6333459989151733e-3,2.6826221318017986e-3,7.994795722191379e-5,6.307792713268938e-5,9.977666375798781e-5
insert/old/a10465271046527/,3.0741968004010024e-3,3.0387400385482734e-3,3.1271090494841385e-3,1.315561155732143e-4,1.0773471444496714e-4,1.6585648187272256e-4
insert/new/a10465271046527/,2.708870887120484e-3,2.688417678653507e-3,2.72779590366729e-3,6.373492716552241e-5,5.213655897848393e-5,9.097237731035703e-5
